Developer,Commits,Code Churn (Lines),PRs Opened,PRs Merged,Avg PR Size,Avg PR Review Time (Days),Issues Resolved,Avg Issue Resolution Time (hours)
Darren Nguyen,2,66,0,0,0.0,0.0,0,0.0
madhuracj,0,0,2,1,11.5,8.523888888888889,0,0.0
Haya,1,26,0,0,0.0,0.0,0,0.0
nastegiano,1,4,0,0,0.0,0.0,0,0.0
GauravChoudhay,0,0,1,1,4.0,18.298333333333332,0,0.0
morags,0,0,1,0,2.0,0.0,0,0.0
Amit Bera,1,8,0,0,0.0,0.0,0,0.0
anupam,1,112,0,0,0.0,0.0,0,0.0
hmaarrfk,0,0,1,1,1.0,18.033055555555556,0,0.0
lgeiger,0,0,1,1,2.0,3.3505555555555557,0,0.0
t-jakubek,1,46,0,0,0.0,0.0,0,0.0
panda5176,0,0,1,1,2.0,23.828055555555554,0,0.0
admdemiraj,0,0,1,1,10.0,22.684722222222224,0,0.0
Aditi Juneja,1,3,0,0,0.0,0.0,0,0.0
melemo2,4,16,0,0,0.0,0.0,0,0.0
Samuel O. Ronsin,2,1313,0,0,0.0,0.0,0,0.0
Nass,1,41,0,0,0.0,0.0,0,0.0
jondo,0,0,1,1,1.0,1.0208333333333333,0,0.0
seoeunHong,0,0,2,1,2.0,13.9875,1,0.21444444444444444
Jeff Zhao,1,38,0,0,0.0,0.0,0,0.0
Micky774,5,123,114,88,1355.6929824561403,13.290082070707074,0,0.0
idomic,0,0,1,1,5.0,2.845,0,0.0
nogilnick,0,0,1,0,220.0,0.0,0,0.0
Gabor Kertesz,1,6,0,0,0.0,0.0,0,0.0
sujataoak799,0,0,2,0,11.5,0.0,0,0.0
Shreesha3112,0,0,11,6,93.0909090909091,11.287175925925927,0,0.0
Rafal Wojdyla,1,24,0,0,0.0,0.0,0,0.0
shubhalgupta,0,0,1,1,4.0,1.7044444444444444,0,0.0
Sangam,6,85,0,0,0.0,0.0,0,0.0
millawell,1,2,0,0,0.0,0.0,0,0.0
shadyelgewily-slimstock,0,0,1,1,38.0,0.7633333333333333,0,0.0
Jofleming,0,0,1,1,2.0,8.56,0,0.0
priyansh16,0,0,1,1,4.0,1.0983333333333334,0,0.0
dx2-66,0,0,1,0,55.0,0.0,0,0.0
rossbar,0,0,3,3,37.0,10.670555555555554,0,0.0
robertcrockett,0,0,1,1,18.0,15.117777777777778,0,0.0
chukarsten,0,0,1,0,6.0,0.0,0,0.0
Daniel Tinoco,1,3,0,0,0.0,0.0,0,0.0
charlesjhill,0,0,1,0,259.0,0.0,0,0.0
chkoar,0,0,1,1,1.0,5.170555555555556,0,0.0
Anavelyz,1,26,0,0,0.0,0.0,0,0.0
Adam Kania,1,30,0,0,0.0,0.0,0,0.0
Okhanous,0,0,1,0,2.0,0.0,0,0.0
captainhaddock18,0,0,1,1,4.0,4.4222222222222225,0,0.0
nik1097,0,0,2,2,11.0,14.74111111111111,0,0.0
kevin moore,2,4,0,0,0.0,0.0,0,0.0
Bryan Chen,1,6,0,0,0.0,0.0,0,0.0
Albarran-dev,0,0,1,0,33.0,0.0,0,0.0
e-izdfr,0,0,1,1,4.0,0.9352777777777778,0,0.0
awinml,0,0,15,14,54.666666666666664,7.614424603174604,1,12.315277777777778
xi-jiajun,0,0,1,1,2.0,8.632777777777777,0,0.0
RowanMankoo,0,0,2,2,20.0,13.114027777777778,0,0.0
juanfe88,1,3,2,2,18.5,16.35472222222222,0,0.0
lpsilvestrin,0,0,1,1,2.0,3.2683333333333335,0,0.0
Bartłomiej Gońda,1,2,0,0,0.0,0.0,0,0.0
Diadochokinetic,4,419,8,4,120.875,11.527013888888888,0,0.0
jpangas,0,0,8,6,44.125,12.227916666666667,0,0.0
Marko Toplak,1,38,0,0,0.0,0.0,0,0.0
npache,1,21,2,1,11.5,0.4986111111111111,0,0.0
boyleconnor,0,0,1,1,70.0,3.545,0,0.0
SaviourOfAll,0,0,1,0,1508.0,0.0,0,0.0
nicolasdalsass,0,0,1,0,5.0,0.0,0,0.0
Priyash Shah,1,36,0,0,0.0,0.0,0,0.0
Brandon Truth,1,38,0,0,0.0,0.0,0,0.0
atrettin,0,0,1,0,730.0,0.0,0,0.0
Konstantinos Pitas,1,52,0,0,0.0,0.0,0,0.0
Kendall,3,276,0,0,0.0,0.0,0,0.0
EitanHemed,0,0,1,1,3.0,18.720555555555556,0,0.0
Dominic Fox,1,10,0,0,0.0,0.0,0,0.0
Ana Paula Gomes,1,6,0,0,0.0,0.0,0,0.0
bcm-at-zama,0,0,1,1,8.0,23.961388888888887,0,0.0
Nymark Kho,2,152,0,0,0.0,0.0,0,0.0
monikamarr,0,0,2,0,229.5,0.0,0,0.0
samronsin,0,0,2,1,113.0,7.650833333333333,0,0.0
Jeff Hale,1,4,0,0,0.0,0.0,0,0.0
SinghAnkur28,0,0,2,2,2.0,11.39013888888889,0,0.0
Aniket-Mahindrakar,0,0,1,0,72.0,0.0,0,0.0
ramvikrams,0,0,1,1,22.0,19.74388888888889,0,0.0
lazarust,0,0,2,1,31.5,8.663333333333334,0,0.0
MuhammadSaadGoraya,0,0,1,0,37.0,0.0,0,0.0
QuadV,2,26,2,2,13.0,1.263611111111111,0,0.0
Nathan Goldbaum,1,2,0,0,0.0,0.0,0,0.0
IamjustNick,0,0,1,0,66.0,0.0,0,0.0
Lohit SundaramahaLingam,1,30,0,0,0.0,0.0,0,0.0
AyushChauhan-ui,0,0,1,0,57.0,0.0,0,0.0
milana2,1,2,0,0,0.0,0.0,0,0.0
101AlexMartin,2,344,2,2,172.0,17.726666666666667,0,0.0
Aswathavicky,1,4,1,1,4.0,18.196944444444444,0,0.0
Rmin-cmd,0,0,1,0,1.0,0.0,0,0.0
Xavier Beltran,4,98,0,0,0.0,0.0,0,0.0
alxfgh,0,0,3,1,18.0,19.965,0,0.0
