Author,PRs,Merged PRs,Total PR Size,Total Review Time (hours)
anntzer,2,1,16,0.9958333333333333
adrinjalali,124,102,73931,959.1766666666665
Venkatesh-5764,1,0,2,0.0
lucyleeow,85,74,4758,579.8280555555555
dymil,1,1,2,1.1594444444444445
EmilyXinyi,11,8,804,128.14499999999998
agriyakhetarpal,3,0,482,0.0
glemaitre,320,277,74048,2463.2444444444423
antoinebaker,2,1,307,6.15
jeremiedbb,306,286,103545,2661.2127777777773
ogrisel,139,109,16186,972.8658333333336
scikit-learn-bot,152,138,11918,686.4775000000002
vjcitn,1,1,7,0.9377777777777778
Albarran-dev,1,0,33,0.0
thomasjpfan,353,324,34932,4176.186666666669
AnandPolamarasetti,1,0,115,0.0
davidcherney,3,1,68,19.63
MohitBurkule,2,0,375,0.0
lesteve,245,227,23673,1917.0308333333346
kbharat1210,1,0,3,0.0
arifqodari,2,1,136,3.5866666666666664
maawoo,1,1,12,5.889722222222222
CaileanCarter,1,1,6,9.591944444444444
reshamas,9,8,476,118.325
MarcBresson,2,1,183,17.065555555555555
conradstevens,2,1,1572,18.587777777777777
dependabot[bot],5,3,84,35.85166666666667
ivanpan0626,3,0,38,0.0
mayer79,3,1,861,5.819166666666667
rwelsch427,2,1,146,5.5152777777777775
Shree7676,2,1,28,3.1705555555555556
SdgJlbl,1,0,164,0.0
betatim,49,38,5422,341.9475
mozgit,1,1,15,1.5877777777777777
eliaslm,1,0,81,0.0
morags,1,0,2,0.0
InessaPawson,1,1,5,3.245277777777778
pplonski,1,1,4,17.275
ArturoAmorQ,74,65,11550,747.275
brdav,1,1,14,23.50138888888889
doshi-kevin,1,0,6,0.0
AdrianoCLeao,1,0,2,0.0
ankit-dhokariya,1,0,59,0.0
virchan,4,1,2002,3.0716666666666668
albertotb,1,1,84,23.295833333333334
OmarManzoor,77,62,11611,461.50972222222225
Charlie-XIAO,138,121,81691,1372.854444444444
stepan-srsen,2,2,17,4.62
lorentzenchr,126,101,40007,1041.453888888889
JochenSiegWork,1,0,218,0.0
dikraMasrour,1,0,138,0.0
stes,2,1,268,0.91
yishutu,1,0,34,0.0
Anumon6395,2,0,96,0.0
augustin-cramer,1,0,4,0.0
tillahoffmann,2,0,281,0.0
veeara282,2,1,16,23.534166666666668
Shashank1202,1,0,14,0.0
Demon-Sheriff,1,0,16,0.0
snath-xoc,4,2,618,16.86888888888889
graua-git,2,0,3314,0.0
tusharparimi,1,1,3,17.434166666666666
StefanieSenger,63,52,8171,635.7594444444444
bpkroth,2,0,10,0.0
der-Lehmann,1,1,2,6.636111111111111
daustria,1,0,257,0.0
decorouz,1,1,2,18.2025
Cloponaclock1,1,0,3,0.0
alexqiao,1,1,3,0.5458333333333333
norgera,2,1,216,22.74888888888889
adam2392,51,30,34716,432.0108333333333
aisha-als,1,1,48,16.194166666666668
rprkh,55,46,1600,613.8766666666666
renaissance0ne,4,1,570,13.359166666666667
ojoaomorais,7,6,43,74.22694444444444
bioruffo,1,1,2,1.0666666666666667
TamaraAtanasoska,5,5,196,95.86694444444444
blitchj,2,0,117,0.0
ThomAub,1,1,12,2.13
MKDJr,1,1,2,15.193055555555556
deepyaman,4,2,154,36.00944444444444
kyrajeep,2,0,178736,0.0
jondo,1,1,1,1.0208333333333333
nithish08,3,2,513,24.460277777777776
ParsifalXu,2,1,18,11.758055555555556
artificialfintelligence,1,1,43,8.926111111111112
gunsodo,1,0,95,0.0
robGardiner01,1,0,3,0.0
datarollhexasphericon,1,0,9,0.0
Anurag-Varma,2,1,86,17.806944444444444
MSHelm,1,1,4,4.638055555555556
jeromedockes,13,8,2382,84.74527777777777
ovenpickled,2,1,31,16.6525
VinayBhagavath,1,0,3,0.0
notPlancha,1,1,15,14.314444444444444
jayant1554,1,0,66,0.0
bme-git,1,1,3,23.03638888888889
augustebaum,1,0,236,0.0
EdAbati,17,16,1825,199.0913888888889
MarcoGorelli,7,7,510,61.654999999999994
Schefflera-Arboricola,1,1,3,23.219444444444445
icfaust,2,1,50,5.233611111111111
maf-rnmourao,1,0,29,0.0
siddu1324,3,0,262,0.0
clin1234,1,0,0,0.0
bsipocz,1,1,2,19.282777777777778
marenwestermann,21,20,553,214.6436111111111
winedarksea,1,0,111,0.0
Tialo,48,44,1834,548.3161111111111
mathurinm,6,6,63,30.015555555555554
m-maggi,3,3,32,52.46472222222223
jcainey,1,1,3,19.175833333333333
amghazanfari,1,0,75,0.0
nbrown-ScottLogic,1,1,4,23.894166666666667
craetona,1,1,25,13.014166666666666
vitaliset,11,7,1786,44.37333333333333
Jaimin020,1,0,44,0.0
JoOkuma,2,0,93,0.0
monikamarr,2,0,459,0.0
aflanders7,2,2,2,6.584722222222222
matthewfeickert,1,1,30,15.943888888888889
ghost,24,22,490,300.29416666666657
baggiponte,1,1,2,11.878333333333334
yareyaredesuyo,1,1,4,16.946944444444444
amanuel2,1,0,2,0.0
agitter,1,0,6,0.0
christian-rauch,1,0,2,0.0
xuefeng-xu,16,13,297,79.79666666666667
HenriqueProj,2,1,220,2.0805555555555557
MiguelParece,3,0,236,0.0
jph00,1,0,1,0.0
dinga92,1,1,2,20.53361111111111
